Name,ShortName,Gender,Locale,SampleRateHertz,VoiceType
"Microsoft Server Speech Text to Speech Voice (en-GB, Susan, Apollo)",en-GB-Susan-Apollo,Female,en-GB,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-IE, Sean)",en-IE-Sean,Male,en-IE,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-IN, Heera, Apollo)",en-IN-Heera-Apollo,Female,en-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-IN, PriyaRUS)",en-IN-PriyaRUS,Female,en-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-IN, Ravi, Apollo)",en-IN-Ravi-Apollo,Male,en-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-US, BenjaminRUS)",en-US-BenjaminRUS,Male,en-US,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-US, Guy24kRUS)",en-US-Guy24kRUS,Male,en-US,24000,Standard
"Microsoft Server Speech Text to Speech Voice (en-US, JessaRUS)",en-US-JessaRUS,Female,en-US,16000,Standard
"Microsoft Server Speech Text to Speech Voice (en-US, Jessa24kRUS)",en-US-Jessa24kRUS,Female,en-US,24000,Standard
"Microsoft Server Speech Text to Speech Voice (en-US, ZiraRUS)",en-US-ZiraRUS,Female,en-US,16000,Standard
"Microsoft Server Speech Text to Speech Voice (es-ES, HelenaRUS)",es-ES-HelenaRUS,Female,es-ES,16000,Standard
"Microsoft Server Speech Text to Speech Voice (es-ES, Laura, Apollo)",es-ES-Laura-Apollo,Female,es-ES,16000,Standard
"Microsoft Server Speech Text to Speech Voice (es-ES, Pablo, Apollo)",es-ES-Pablo-Apollo,Male,es-ES,16000,Standard
"Microsoft Server Speech Text to Speech Voice (es-MX, HildaRUS)",es-MX-HildaRUS,Female,es-MX,16000,Standard
"Microsoft Server Speech Text to Speech Voice (es-MX, Raul, Apollo)",es-MX-Raul-Apollo,Male,es-MX,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fi-FI, HeidiRUS)",fi-FI-HeidiRUS,Female,fi-FI,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-CA, Caroline)",fr-CA-Caroline,Female,fr-CA,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-CA, HarmonieRUS)",fr-CA-HarmonieRUS,Female,fr-CA,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-CH, Guillaume)",fr-CH-Guillaume,Male,fr-CH,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-FR, HortenseRUS)",fr-FR-HortenseRUS,Female,fr-FR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-FR, Julie, Apollo)",fr-FR-Julie-Apollo,Female,fr-FR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (fr-FR, Paul, Apollo)",fr-FR-Paul-Apollo,Male,fr-FR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (he-IL, Asaf)",he-IL-Asaf,Male,he-IL,16000,Standard
"Microsoft Server Speech Text to Speech Voice (hi-IN, Hemant)",hi-IN-Hemant,Male,hi-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (hi-IN, Kalpana, Apollo)",hi-IN-Kalpana-Apollo,Female,hi-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (hi-IN, Kalpana)",hi-IN-Kalpana,Female,hi-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (hr-HR, Matej)",hr-HR-Matej,Male,hr-HR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (hu-HU, Szabolcs)",hu-HU-Szabolcs,Male,hu-HU,16000,Standard
"Microsoft Server Speech Text to Speech Voice (id-ID, Andika)",id-ID-Andika,Male,id-ID,16000,Standard
"Microsoft Server Speech Text to Speech Voice (it-IT, Cosimo, Apollo)",it-IT-Cosimo-Apollo,Male,it-IT,16000,Standard
"Microsoft Server Speech Text to Speech Voice (it-IT, LuciaRUS)",it-IT-LuciaRUS,Female,it-IT,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ja-JP, Ayumi, Apollo)",ja-JP-Ayumi-Apollo,Female,ja-JP,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ja-JP, HarukaRUS)",ja-JP-HarukaRUS,Female,ja-JP,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ja-JP, Ichiro, Apollo)",ja-JP-Ichiro-Apollo,Male,ja-JP,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ko-KR, HeamiRUS)",ko-KR-HeamiRUS,Female,ko-KR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ms-MY, Rizwan)",ms-MY-Rizwan,Male,ms-MY,16000,Standard
"Microsoft Server Speech Text to Speech Voice (nb-NO, HuldaRUS)",nb-NO-HuldaRUS,Female,nb-NO,16000,Standard
"Microsoft Server Speech Text to Speech Voice (nl-NL, HannaRUS)",nl-NL-HannaRUS,Female,nl-NL,16000,Standard
"Microsoft Server Speech Text to Speech Voice (pl-PL, PaulinaRUS)",pl-PL-PaulinaRUS,Female,pl-PL,16000,Standard
