voice,language,language_code,gender,service
en-GB-Standard-B,English (UK),en-GB,MALE,google
en-GB-News-H,English (UK),en-GB,FEMALE,google
en-GB-News-K,English (UK),en-GB,MALE,google
en-GB-News-J,English (UK),en-GB,MALE,google
en-GB-Wavenet-A,English (UK),en-GB,FEMALE,google
en-GB-Neural2-A,English (UK),en-GB,FEMALE,google
en-GB-Neural2-C,English (UK),en-GB,FEMALE,google
en-GB-Neural2-F,English (UK),en-GB,FEMALE,google
en-GB-Wavenet-D,English (UK),en-GB,MALE,google
en-GB-News-G,English (UK),en-GB,FEMALE,google
en-GB-Neural2-B,English (UK),en-GB,MALE,google
en-GB-Standard-D,English (UK),en-GB,MALE,google
en-GB-Standard-F,English (UK),en-GB,FEMALE,google
en-GB-Wavenet-C,English (UK),en-GB,FEMALE,google
en-GB-Wavenet-F,English (UK),en-GB,FEMALE,google
en-GB-Standard-A,English (UK),en-GB,FEMALE,google
en-GB-Wavenet-B,English (UK),en-GB,MALE,google
en-GB-Standard-C,English (UK),en-GB,FEMALE,google
en-IN-Standard-C,English (India),en-IN,MALE,google
en-IN-Wavenet-C,English (India),en-IN,MALE,google
en-IN-Wavenet-A,English (India),en-IN,FEMALE,google
en-IN-Wavenet-B,English (India),en-IN,MALE,google
en-IN-Standard-B,English (India),en-IN,MALE,google
en-IN-Standard-A,English (India),en-IN,FEMALE,google
en-IN-Standard-D,English (India),en-IN,FEMALE,google
en-IN-Wavenet-D,English (India),en-IN,FEMALE,google
en-US-News-M,English (US),en-US,MALE,google
en-US-News-N,English (US),en-US,MALE,google
en-US-Neural2-H,English (US),en-US,FEMALE,google
en-US-Standard-C,English (US),en-US,FEMALE,google
en-US-Standard-D,English (US),en-US,MALE,google
en-US-Standard-E,English (US),en-US,FEMALE,google
en-US-Neural2-J,English (US),en-US,MALE,google
en-US-Wavenet-G,English (US),en-US,FEMALE,google
en-US-News-K,English (US),en-US,FEMALE,google
en-US-Standard-A,English (US),en-US,MALE,google
en-US-Wavenet-H,English (US),en-US,FEMALE,google
en-US-Wavenet-E,English (US),en-US,FEMALE,google
en-US-News-L,English (US),en-US,FEMALE,google
en-US-Wavenet-F,English (US),en-US,FEMALE,google
en-US-Wavenet-C,English (US),en-US,FEMALE,google
en-US-Neural2-C,English (US),en-US,FEMALE,google
en-US-Wavenet-D,English (US),en-US,MALE,google
en-US-Wavenet-B,English (US),en-US,MALE,google
en-US-Polyglot-1,English (US),en-US,MALE,google
en-US-Standard-J,English (US),en-US,MALE,google
en-US-Wavenet-I,English (US),en-US,MALE,google
en-US-Standard-B,English (US),en-US,MALE,google
en-US-Neural2-A,English (US),en-US,MALE,google
en-US-Studio-O,English (US),en-US,FEMALE,google
en-US-Standard-F,English (US),en-US,FEMALE,google
en-US-Wavenet-A,English (US),en-US,MALE,google
en-US-Neural2-F,English (US),en-US,FEMALE,google
en-US-Wavenet-J,English (US),en-US,MALE,google
en-US-Neural2-I,English (US),en-US,MALE,google
en-US-Neural2-G,English (US),en-US,FEMALE,google
en-US-Studio-M,English (US),en-US,MALE,google
en-US-Neural2-D,English (US),en-US,MALE,google
en-US-Standard-I,English (US),en-US,MALE,google
en-US-Standard-G,English (US),en-US,FEMALE,google
