type,language,dataset,model_name,service
tts_models,multilingual,multi-dataset,your_tts,coqui
tts_models,bg,cv,vits,coqui
tts_models,cs,cv,vits,coqui
tts_models,da,cv,vits,coqui
tts_models,et,cv,vits,coqui
tts_models,ga,cv,vits,coqui
tts_models,en,ek1,tacotron2,coqui
tts_models,en,ljspeech,tacotron2-DDC,coqui
tts_models,en,ljspeech,tacotron2-DDC_ph,coqui
tts_models,en,ljspeech,glow-tts,coqui
tts_models,en,ljspeech,speedy-speech,coqui
tts_models,en,ljspeech,tacotron2-DCA,coqui
tts_models,en,ljspeech,vits,coqui
tts_models,en,ljspeech,vits--neon,coqui
tts_models,en,ljspeech,fast_pitch,coqui
tts_models,en,ljspeech,overflow,coqui
tts_models,en,ljspeech,neural_hmm,coqui
tts_models,en,vctk,vits,coqui
tts_models,en,vctk,fast_pitch,coqui
tts_models,en,sam,tacotron-DDC,coqui
tts_models,en,blizzard2013,capacitron-t2-c50,coqui
tts_models,en,blizzard2013,capacitron-t2-c150_v2,coqui
tts_models,es,mai,tacotron2-DDC,coqui
tts_models,es,css10,vits,coqui
tts_models,fr,mai,tacotron2-DDC,coqui
tts_models,fr,css10,vits,coqui
tts_models,uk,mai,glow-tts,coqui
tts_models,uk,mai,vits,coqui
tts_models,zh-CN,baker,tacotron2-DDC-GST,coqui
tts_models,nl,mai,tacotron2-DDC,coqui
tts_models,nl,css10,vits,coqui
tts_models,de,thorsten,tacotron2-DCA,coqui
tts_models,de,thorsten,vits,coqui
tts_models,de,thorsten,tacotron2-DDC,coqui
tts_models,de,css10,vits-neon,coqui
tts_models,ja,kokoro,tacotron2-DDC,coqui
tts_models,tr,common-voice,glow-tts,coqui
tts_models,it,mai_female,glow-tts,coqui
tts_models,it,mai_female,vits,coqui
tts_models,it,mai_male,glow-tts,coqui
tts_models,it,mai_male,vits,coqui
tts_models,ewe,openbible,vits,coqui
tts_models,hau,openbible,vits,coqui
tts_models,lin,openbible,vits,coqui
tts_models,tw_akuapem,openbible,vits,coqui
tts_models,tw_asante,openbible,vits,coqui
tts_models,yor,openbible,vits,coqui
tts_models,hu,css10,vits,coqui
tts_models,el,cv,vits,coqui
tts_models,fi,css10,vits,coqui
tts_models,hr,cv,vits,coqui
tts_models,lt,cv,vits,coqui
tts_models,lv,cv,vits,coqui
tts_models,mt,cv,vits,coqui
tts_models,pl,mai_female,vits,coqui
tts_models,pt,cv,vits,coqui
tts_models,ro,cv,vits,coqui
tts_models,sk,cv,vits,coqui
tts_models,sl,cv,vits,coqui
tts_models,sv,cv,vits,coqui
tts_models,ca,custom,vits,coqui
tts_models,fa,custom,glow-tts,coqui
tts_models,bn,custom,vits-male,coqui
tts_models,bn,custom,vits-female,coqui
vocoder_models,universal,libri-tts,wavegrad,coqui
vocoder_models,universal,libri-tts,fullband-melgan,coqui
vocoder_models,en,ek1,wavegrad,coqui
vocoder_models,en,ljspeech,multiband-melgan,coqui
vocoder_models,en,ljspeech,hifigan_v2,coqui
vocoder_models,en,ljspeech,univnet,coqui
vocoder_models,en,blizzard2013,hifigan_v2,coqui
vocoder_models,en,vctk,hifigan_v2,coqui
vocoder_models,en,sam,hifigan_v2,coqui
vocoder_models,nl,mai,parallel-wavegan,coqui
vocoder_models,de,thorsten,wavegrad,coqui
vocoder_models,de,thorsten,fullband-melgan,coqui
vocoder_models,de,thorsten,hifigan_v1,coqui
vocoder_models,ja,kokoro,hifigan_v1,coqui
vocoder_models,uk,mai,multiband-melgan,coqui
vocoder_models,tr,common-voice,hifigan,coqui
